Message Type,Received UTC,MMSI,Ship Name,Latitude,Longitude,Speed Over Ground (knots),Course Over Ground,True Heading,Timestamp (sec),Is Valid,Call Sign,Destination,Ship Type,Dimensions
StandardClassBPositionReport,15:03:01,271041261,YA SELAM,37.03425,27.42803,0.0,101.7,511.0,59.0,True,,,,
PositionReport,15:03:02,247158900,ISCHIAMAR,40.55746,14.24313,7.9,242.1,511.0,0.0,True,,,,
StaticDataReport,15:03:02,225984285,NAILAH,39.42341,-0.31941,,,,,True,,,,
ShipStaticData,15:03:02,224004530,MARRUZA,39.54581,2.38739,,,,,True,EA45,,30.0,"{'A': 10, 'B': 10, 'C': 3, 'D': 3}"
ShipStaticData,15:03:02,629009420,NS SPRINTER,37.85802,23.28266,,,,,True,C5J432,TR IZM,79.0,"{'A': 70, 'B': 12, 'C': 8, 'D': 4}"
DataLinkManagementMessage,15:03:02,2014012,TALE,41.69006,19.58878,,,,,True,,,,
PositionReport,15:03:02,240040300,CHARLIE,37.91266,23.7021,0.1,360.0,511.0,1.0,True,,,,
PositionReport,15:03:02,228351800,JANUS 2,43.24392,5.36342,0.0,360.0,511.0,0.0,True,,,,
PositionReport,15:03:02,636024949,SHENZHEN,37.5867,10.57243,17.5,286.6,286.0,58.0,True,,,,
PositionReport,15:03:02,209440000,CHAMPION JET 1,37.45315,25.1277,34.0,81.1,79.0,59.0,True,,,,
PositionReport,15:03:02,224009880,PLAYA MORCH SG,36.53914,-4.61699,0.0,134.5,511.0,59.0,True,,,,
PositionReport,15:03:02,247445900,MEDMAR GIORGIA,40.76925,14.02978,9.5,63.2,63.0,59.0,True,,,,
PositionReport,15:03:02,228116540,SEATINGBOAT 1,43.4103,6.78282,0.0,360.0,511.0,0.0,True,,,,
StandardClassBPositionReport,15:03:02,219000919,,38.36098,21.4182,0.0,70.0,70.0,60.0,True,,,,
DataLinkManagementMessage,15:03:02,2240991,,41.33508,2.14128,,,,,True,,,,
BaseStationReport,15:03:02,2386030,SUSAK,44.51435,14.30163,,,,,True,,,,
BaseStationReport,15:03:02,2470142,USTICA,38.70778,13.17805,,,,,True,,,,
PositionReport,15:03:02,319320700,FANTASY,44.41668,8.83838,0.0,316.1,105.0,59.0,True,,,,
StandardClassBPositionReport,15:03:02,225980737,NUK,39.49924,-0.31831,0.0,276.7,511.0,0.0,True,,,,
StandardClassBPositionReport,15:03:02,247369890,GIORGIA,44.32837,9.28266,0.0,360.0,511.0,1.0,True,,,,
StandardClassBPositionReport,15:03:02,227850710,,44.39874,8.68693,0.0,360.0,511.0,0.0,True,,,,
StandardClassBPositionReport,15:03:02,319509000,SY NEW DIMENSION,39.56306,2.63044,0.1,310.4,511.0,1.0,True,,,,
AidsToNavigationReport,15:03:02,992381250,,45.48997,13.49104,,,,0.0,True,,,5.0,"{'A': 0, 'B': 2, 'C': 0, 'D': 1}"
StandardClassBPositionReport,15:03:02,225987690,ELI,39.42322,-0.31727,0.0,360.0,511.0,0.0,True,,,,
StandardClassBPositionReport,15:03:03,232021784,,37.73788,-0.74307,0.0,0.0,0.0,60.0,True,,,,
ShipStaticData,15:03:03,605086012,KHERRATA,35.93206,0.07395,,,,,True,7THD,ARZEW,70.0,"{'A': 126, 'B': 12, 'C': 18, 'D': 3}"
ShipStaticData,15:03:03,538072792,WHISPER,43.58617,7.12968,,,,,True,V7B2874,FRANT,37.0,"{'A': 40, 'B': 55, 'C': 7, 'D': 7}"
ShipStaticData,15:03:03,240951000,SUPERFAST II,38.24268,21.60788,,,,,True,SVAU2,GRIGO,69.0,"{'A': 30, 'B': 169, 'C': 13, 'D': 13}"
StaticDataReport,15:03:03,247257160,ETHNA,40.71503,13.8544,,,,,True,,,,
PositionReport,15:03:03,256044000,TEMBEA,44.41165,8.92409,0.0,195.0,340.0,2.0,True,,,,
PositionReport,15:03:03,247222320,MP LEDO,42.35759,10.98345,9.0,43.9,511.0,1.0,True,,,,
PositionReport,15:03:03,538012010,TEJAS,38.03228,23.51938,0.0,228.0,162.0,0.0,True,,,,
PositionReport,15:03:03,247355800,ANGRA TOO,40.82631,14.22405,0.2,0.0,332.0,1.0,True,,,,
PositionReport,15:03:03,273127310,MEZEN,31.53593,32.38588,0.3,214.9,303.0,1.0,True,,,,
PositionReport,15:03:03,224052840,NVO JOAQUINA ANTONIO,38.31489,1.21672,6.9,317.0,317.0,60.0,True,,,,
PositionReport,15:03:03,228131600,F/V LE MALPHA,44.57637,-1.50447,4.8,165.4,511.0,20.0,True,,,,
PositionReport,15:03:03,240563500,OLYMPIOS ERMIS,36.81661,27.33176,15.5,36.6,36.0,59.0,True,,,,
PositionReport,15:03:03,356478000,SEAHORSE,36.29572,35.21738,0.0,360.0,194.0,1.0,True,,,,
PositionReport,15:03:03,319187600,LADY A,40.6956,14.47498,0.0,181.8,222.0,0.0,True,,,,
StandardClassBPositionReport,15:03:03,368050850,APRIL FOOLS,44.41594,8.83516,0.1,360.0,511.0,2.0,True,,,,
