MMSI,Ship Name,lat,lon,low_confidence,n_pings,score,is_anomalous,flags,reason
248477000,GENEVIEVE,39.56607,2.6419,False,4,1.0,False,,
248535000,OKSANCHIK,43.73398,7.4265,False,4,1.12,False,signal gap of 722s,
248592000,FADIQ,41.33607,9.33787,False,14,1.79,False,implied speed of 56 kts between pings (physically implausible),
248604000,BELLIS THERESA,41.32501,2.18288,True,2,,,,only 2 ping(s) - not enough data to score reliably
248624000,BARACUDA VALLETTA,37.86419,23.6288,False,14,1.14,False,,
248638000,SEA HUNTRESS,43.73632,7.42939,False,7,0.73,False,,
248666000,AQUA LIBRA,37.93184,23.68224,False,10,1.09,False,,
248685000,BLUE EAST,40.82653,14.22455,False,5,1.48,False,signal gap of 903s,
248695000,PAREA,40.87246,28.89905,True,2,,,,only 2 ping(s) - not enough data to score reliably
248755000,SOURAYA,37.93032,23.68417,False,15,1.38,False,,
248771000,MY FAN TOO,37.92911,23.68289,False,3,0.51,False,,
248783000,SY CERVO,39.5597,2.63013,False,13,1.08,False,,
248785000,STAR FLYER,36.23177,28.3383,True,1,,,,only 1 ping(s) - not enough data to score reliably
248802000,KAIROS II,39.64983,-0.21032,False,3,1.02,False,signal gap of 736s,
248815000,I SEA,38.26532,21.49736,False,22,4.23,False,implied speed of 192 kts between pings (physically implausible),
248823000,SEVANNA,43.54333,10.29805,True,1,,,,only 1 ping(s) - not enough data to score reliably
248850000,PERSEUS,37.40916,25.34372,False,12,1.07,False,,
248851000,PHILOTIMOS,37.47762,6.58147,False,8,1.16,False,,
248866000,BRIGADOON,43.73425,7.42373,False,16,1.19,False,,
248874000,TOY\A,37.93353,23.64871,True,2,,,,only 2 ping(s) - not enough data to score reliably
248879000,AIR,43.23506,6.68655,True,2,,,,only 2 ping(s) - not enough data to score reliably
248883000,ANVA,43.58949,7.12929,False,9,1.03,False,,
248923000,TORRENS,37.80987,23.67337,False,9,1.16,False,,
248989000,LADY G II,37.93287,23.64773,False,6,0.97,False,,
248999000,SERENE THEODORA,39.953,0.01367,True,2,,,,only 2 ping(s) - not enough data to score reliably
249000037,BLU NIKITA III,41.19811,13.55993,False,4,0.97,False,,
249001000,RESILIENT 4,40.21126,2.03289,True,2,,,,only 2 ping(s) - not enough data to score reliably
249006000,NEVER GIVE UP,44.3511,8.56927,False,4,1.0,False,,
249010000,AROYA,37.46572,25.31972,False,4,0.75,False,,
249036000,HATT MILL,40.76424,13.86443,False,11,1.04,False,,
249048000,CELEBRITY INFINITY,37.24211,26.25352,False,3,1.35,False,signal gap of 855s,
249050000,PG GAS PIONEER,41.37954,19.41726,True,2,,,,only 2 ping(s) - not enough data to score reliably
249051000,MARELLA EXPLORER,43.10518,5.8992,False,7,0.9,False,,
249053000,MARELLA VOYAGER,35.72463,23.88275,False,11,1.02,False,,
249078000,SEAPRINCESS,37.85474,23.52602,True,2,,,,only 2 ping(s) - not enough data to score reliably
249091000,KOGO,37.93072,23.68117,False,5,0.86,False,,
249096000,MERITO,41.32218,2.19,False,7,0.7,False,,
249106000,AMITATU,39.549,2.59989,True,2,,,,only 2 ping(s) - not enough data to score reliably
249108000,ALFA NERO,43.74151,7.44958,True,1,,,,only 1 ping(s) - not enough data to score reliably
249115000,MINERVA XANTHE,37.09693,1.59599,False,23,1.05,False,,
249116000,SAN MARCOS,43.78839,-5.90685,False,7,0.94,False,,
249131000,EDESIA,40.65583,14.37494,False,7,0.96,False,,
249149000,SEAEXPLORER,36.18767,-4.95387,True,2,,,,only 2 ping(s) - not enough data to score reliably
249179000,EPTALOFOS,31.34105,29.51177,False,7,0.63,False,,
249215000,IPANEMAS T,37.93048,23.68086,False,5,0.73,False,,
249220000,S7,43.74321,7.44972,False,4,2.0,False,signal gap of 1108s,
249226000,IRAVATI,37.93829,23.66687,False,3,1.02,False,signal gap of 737s,
249230000,CGAS LION,38.86668,8.01052,True,1,,,,only 1 ping(s) - not enough data to score reliably
249232000,OKINAWA,43.65464,7.18002,False,3,0.59,False,,
249236000,DELTA POSEIDON,37.86143,23.51023,False,6,1.0,False,,
249244000,AURELIA,40.82657,14.22431,False,5,1.15,False,signal gap of 741s,
249264000,SEALEN B,43.58883,7.13019,False,3,1.29,False,signal gap of 929s,
249270000,WINDROSE OF AMSTERDA,38.25009,21.73465,False,3,0.63,False,,
249286000,NAN,38.02452,23.5943,False,5,0.89,False,,
249301000,ARCHANGEL ONE,36.47288,27.86728,False,10,1.11,False,,
249306000,SEAMERIT,35.90304,-0.15078,True,1,,,,only 1 ping(s) - not enough data to score reliably
249333000,OCEAN MERCURY,43.73667,7.42933,False,3,0.61,False,,
